COG0012.mOTU.v2.0003825	meta_mOTU_v2_5675
COG0012.mOTU.v2.0004645	ref_mOTU_v2_4445
COG0016.mOTU.v2.0003400	meta_mOTU_v2_7207
COG0541.mOTU.v2.0000899	ref_mOTU_v2_4593
COG0018.mOTU.v2.0000688	ref_mOTU_v2_0167
COG0541.mOTU.v2.0005608	ref_mOTU_v2_5178
COG0533.mOTU.v2.0001930	meta_mOTU_v2_7016
COG0495.mOTU.v2.0005896	ref_mOTU_v2_2714
COG0172.mOTU.v2.0002089	meta_mOTU_v2_5702
COG0012.mOTU.v2.0004677	ref_mOTU_v2_2568
COG0018.mOTU.v2.0008860	meta_mOTU_v2_5714
COG0533.mOTU.v2.0001947	meta_mOTU_v2_5734
COG0012.mOTU.v2.0003974	meta_mOTU_v2_7105
COG0012.mOTU.v2.0009637	meta_mOTU_v2_7463
COG0018.mOTU.v2.0006546	ref_mOTU_v2_3600
COG0525.mOTU.v2.0004212	ref_mOTU_v2_3547
COG0172.mOTU.v2.0000943	ref_mOTU_v2_1114
COG0533.mOTU.v2.0004306	ref_mOTU_v2_4743
COG0525.mOTU.v2.0004881	ref_mOTU_v2_4518
COG0525.mOTU.v2.0003586	ref_mOTU_v2_2799
COG0172.mOTU.v2.0000202	ref_mOTU_v2_0760
COG0012.mOTU.v2.0004025	ref_mOTU_v2_2760
COG0215.mOTU.v2.0005745	ref_mOTU_v2_3545
COG0016.mOTU.v2.0010428	meta_mOTU_v2_7351
COG0541.mOTU.v2.0000525	ref_mOTU_v2_0293
COG0541.mOTU.v2.0002311	meta_mOTU_v2_5886
COG0552.mOTU.v2.0002230	meta_mOTU_v2_6014
COG0172.mOTU.v2.0007250	ref_mOTU_v2_0045
COG0016.mOTU.v2.0000874	ref_mOTU_v2_4142
COG0495.mOTU.v2.0008452	meta_mOTU_v2_7322
COG0016.mOTU.v2.0001790	ref_mOTU_v2_3597
COG0552.mOTU.v2.0005009	ref_mOTU_v2_4919
COG0495.mOTU.v2.0005015	ref_mOTU_v2_4860
COG0495.mOTU.v2.0008031	meta_mOTU_v2_7442
COG0018.mOTU.v2.0007126	meta_mOTU_v2_5547
COG0533.mOTU.v2.0006799	ref_mOTU_v2_3579
COG0012.mOTU.v2.0007456	meta_mOTU_v2_6878
COG0215.mOTU.v2.0003539	meta_mOTU_v2_5582
COG0018.mOTU.v2.0001365	ref_mOTU_v2_1380
COG0172.mOTU.v2.0004702	ref_mOTU_v2_3925
COG0495.mOTU.v2.0003270	ref_mOTU_v2_4287
COG0018.mOTU.v2.0000336	ref_mOTU_v2_4719
COG0012.mOTU.v2.0005493	ref_mOTU_v2_2951
COG0215.mOTU.v2.0005006	ref_mOTU_v2_2998
COG0525.mOTU.v2.0000460	ref_mOTU_v2_0379
COG0172.mOTU.v2.0002196	meta_mOTU_v2_6833
COG0541.mOTU.v2.0001248	ref_mOTU_v2_4399
COG0552.mOTU.v2.0002219	meta_mOTU_v2_6932
COG0016.mOTU.v2.0005884	ref_mOTU_v2_3476
COG0215.mOTU.v2.0006328	ref_mOTU_v2_2229
COG0552.mOTU.v2.0004781	ref_mOTU_v2_2840
COG0018.mOTU.v2.0002325	meta_mOTU_v2_5562
COG0018.mOTU.v2.0006495	ref_mOTU_v2_2427
COG0533.mOTU.v2.0005807	ref_mOTU_v2_2830
COG0012.mOTU.v2.0007749	meta_mOTU_v2_5474
COG0552.mOTU.v2.0006229	ref_mOTU_v2_5282
COG0018.mOTU.v2.0008242	meta_mOTU_v2_6234
COG0215.mOTU.v2.0007452	meta_mOTU_v2_6556
COG0552.mOTU.v2.0001333	ref_mOTU_v2_1404
COG0541.mOTU.v2.0003730	ref_mOTU_v2_4905
COG0215.mOTU.v2.0004253	ref_mOTU_v2_5166
COG0525.mOTU.v2.0000938	ref_mOTU_v2_1023
COG0495.mOTU.v2.0002029	meta_mOTU_v2_6974
COG0172.mOTU.v2.0006876	ref_mOTU_v2_3985
COG0215.mOTU.v2.0005922	ref_mOTU_v2_1860
COG0495.mOTU.v2.0001434	ref_mOTU_v2_0630
COG0525.mOTU.v2.0005216	ref_mOTU_v2_3088
COG0552.mOTU.v2.0007200	meta_mOTU_v2_6371
COG0215.mOTU.v2.0005967	ref_mOTU_v2_1807
COG0541.mOTU.v2.0002216	meta_mOTU_v2_5486
COG0525.mOTU.v2.0005875	ref_mOTU_v2_2804
COG0541.mOTU.v2.0005085	ref_mOTU_v2_3431
COG0525.mOTU.v2.0003282	ref_mOTU_v2_3216
COG0552.mOTU.v2.0000804	ref_mOTU_v2_0869
COG0541.mOTU.v2.0004336	ref_mOTU_v2_2966
COG0172.mOTU.v2.0001989	meta_mOTU_v2_6502
COG0552.mOTU.v2.0001406	ref_mOTU_v2_0968
COG0525.mOTU.v2.0004644	ref_mOTU_v2_2129
COG0552.mOTU.v2.0005559	ref_mOTU_v2_2505
COG0495.mOTU.v2.0000266	ref_mOTU_v2_1087
COG0215.mOTU.v2.0000637	ref_mOTU_v2_0107
COG0215.mOTU.v2.0003161	meta_mOTU_v2_6412
COG0533.mOTU.v2.0004291	ref_mOTU_v2_4222
COG0018.mOTU.v2.0002757	meta_mOTU_v2_5782
COG0525.mOTU.v2.0005106	ref_mOTU_v2_2271
COG0215.mOTU.v2.0006030	ref_mOTU_v2_2221
COG0215.mOTU.v2.0007109	ref_mOTU_v2_3112
COG0495.mOTU.v2.0001812	meta_mOTU_v2_7203
COG0541.mOTU.v2.0006092	ref_mOTU_v2_3592
COG0172.mOTU.v2.0007561	meta_mOTU_v2_5663
COG0215.mOTU.v2.0007214	ref_mOTU_v2_5222
COG0552.mOTU.v2.0004012	ref_mOTU_v2_4476
COG0018.mOTU.v2.0003597	ref_mOTU_v2_4005
COG0495.mOTU.v2.0004999	ref_mOTU_v2_2716
COG0495.mOTU.v2.0000469	ref_mOTU_v2_1531
COG0495.mOTU.v2.0001402	ref_mOTU_v2_0728
COG0215.mOTU.v2.0008530	meta_mOTU_v2_6164
COG0525.mOTU.v2.0000157	ref_mOTU_v2_0657
COG0552.mOTU.v2.0007514	meta_mOTU_v2_5313
COG0012.mOTU.v2.0004889	ref_mOTU_v2_3325
COG0016.mOTU.v2.0001128	ref_mOTU_v2_5288
COG0541.mOTU.v2.0006994	meta_mOTU_v2_7311
COG0525.mOTU.v2.0001522	ref_mOTU_v2_0203
COG0533.mOTU.v2.0001614	ref_mOTU_v2_0447
COG0495.mOTU.v2.0009184	meta_mOTU_v2_6278
COG0172.mOTU.v2.0004235	ref_mOTU_v2_5174
COG0018.mOTU.v2.0001518	ref_mOTU_v2_1194
COG0016.mOTU.v2.0006702	ref_mOTU_v2_0189
COG0552.mOTU.v2.0001666	ref_mOTU_v2_0542
COG0525.mOTU.v2.0001297	ref_mOTU_v2_0826
COG0016.mOTU.v2.0000239	ref_mOTU_v2_1312
COG0018.mOTU.v2.0001424	ref_mOTU_v2_4202
COG0016.mOTU.v2.0002238	meta_mOTU_v2_6835
COG0172.mOTU.v2.0006716	ref_mOTU_v2_1963
COG0541.mOTU.v2.0006772	meta_mOTU_v2_6349
COG0215.mOTU.v2.0008061	meta_mOTU_v2_7761
COG0533.mOTU.v2.0006116	ref_mOTU_v2_1681
COG0172.mOTU.v2.0003005	meta_mOTU_v2_5928
COG0533.mOTU.v2.0001717	ref_mOTU_v2_3624
COG0012.mOTU.v2.0000795	ref_mOTU_v2_4960
COG0215.mOTU.v2.0006173	ref_mOTU_v2_3095
COG0552.mOTU.v2.0005539	ref_mOTU_v2_4510
COG0012.mOTU.v2.0002413	meta_mOTU_v2_5493
COG0552.mOTU.v2.0002353	meta_mOTU_v2_5314
COG0172.mOTU.v2.0007661	meta_mOTU_v2_5417
COG0541.mOTU.v2.0003314	ref_mOTU_v2_4199
COG0012.mOTU.v2.0000988	ref_mOTU_v2_0869
COG0215.mOTU.v2.0006823	ref_mOTU_v2_3859
COG0012.mOTU.v2.0002119	meta_mOTU_v2_7476
COG0018.mOTU.v2.0006845	ref_mOTU_v2_1989
COG0525.mOTU.v2.0005626	ref_mOTU_v2_1733
COG0172.mOTU.v2.0002376	meta_mOTU_v2_5421
COG0016.mOTU.v2.0007963	meta_mOTU_v2_7572
COG0533.mOTU.v2.0005525	ref_mOTU_v2_3389
COG0018.mOTU.v2.0001533	ref_mOTU_v2_0929
COG0533.mOTU.v2.0007616	meta_mOTU_v2_6554
COG0215.mOTU.v2.0005271	ref_mOTU_v2_2737
COG0016.mOTU.v2.0006872	ref_mOTU_v2_3207
COG0018.mOTU.v2.0000057	ref_mOTU_v2_0165
COG0541.mOTU.v2.0007944	meta_mOTU_v2_7465
COG0541.mOTU.v2.0004220	ref_mOTU_v2_2259
COG0533.mOTU.v2.0004456	ref_mOTU_v2_4397
COG0016.mOTU.v2.0007909	meta_mOTU_v2_7520
COG0016.mOTU.v2.0002364	meta_mOTU_v2_7798
COG0533.mOTU.v2.0002051	meta_mOTU_v2_5953
COG0016.mOTU.v2.0006654	ref_mOTU_v2_4132
COG0552.mOTU.v2.0000717	ref_mOTU_v2_3975
COG0012.mOTU.v2.0000359	ref_mOTU_v2_1203
COG0215.mOTU.v2.0003283	meta_mOTU_v2_7172
COG0012.mOTU.v2.0001702	ref_mOTU_v2_0513
COG0541.mOTU.v2.0000430	ref_mOTU_v2_0933
