ID	phylum	"Predicted GTPase, probable translation factor
"	"Phenylalanyl-tRNA synthetase alpha subunit
"	"Arginyl-tRNA synthetase
"	"Seryl-tRNA synthetase
"	"Cysteinyl-tRNA synthetase
"	"Leucyl-tRNA synthetase
"	"Valyl-tRNA synthetase
"	"Metal-dependent proteases with possible chaperone activity
"	"Signal recognition particle GTPase (Ffh)
"	"Signal recognition particle GTPase (FtsY)
"
ref_mOTU_v2_4846	Bacteroidetes	2.6878979421	5.8025814396	1.6523978974	11.5941917196	4.0018113376999995	0.0001	4.4484510473	0.0001	0.0001	1.5559704176
ref_mOTU_v2_4873	Bacteroidetes	1.343998971	7.2107859995000005	4.1517070905999995	8.1427331523	16.130104990299998	2.6266589685	3.4547874438000004	0.0001	4.4434416429	10.7223736656
ref_mOTU_v2_4874	Firmicutes	0.0001	0.0001	0.0001	0.0001	2.0767775679000002	0.6166136529999999	0.5468970314	0.0001	1.1010172374	0.0001
ref_mOTU_v2_4875	Firmicutes	1.9572861999000002	5.6801032922	5.5768273617999995	8.5218650574	5.2200919938	6.782556082699999	2.3170492869	5.8716585996	4.5907724792	7.853777107699999
ref_mOTU_v2_4879	Bacteroidetes	1.3476708261	2.8676053626	0.8046855177	0.0001	1.0087112932	0.0001	0.5561438809	0.0001	0.0001	0.0001
ref_mOTU_v2_4880	Bacteroidetes	14.7428177881	15.956923958900001	26.392657718600002	19.775066227	19.3361417681	5.8716585996	6.7641355067	14.438438319000001	19.0127659416	7.1877739989
ref_mOTU_v2_4882	Firmicutes	0.0001	0.0001	0.0001	0.0001	0.0001	0.6127843756	0.5599307859	0.0001	1.0746335998999998	0.0001
ref_mOTU_v2_4910	Firmicutes	2.6096815998	0.0001	0.0001	2.962327762	0.0001	2.7079246718000003	0.0001	0.0001	1.0912746070000001	0.0001
ref_mOTU_v2_5068	Firmicutes	1.3367149658	4.3391990238	0.0001	1.1551607081	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001
ref_mOTU_v2_5296	Bacteroidetes	0.0001	36.2656089975	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001
