ID	phylum	"Predicted GTPase, probable translation factor
"	"Phenylalanyl-tRNA synthetase alpha subunit
"	"Arginyl-tRNA synthetase
"	"Seryl-tRNA synthetase
"	"Cysteinyl-tRNA synthetase
"	"Leucyl-tRNA synthetase
"	"Valyl-tRNA synthetase
"	"Metal-dependent proteases with possible chaperone activity
"	"Signal recognition particle GTPase (Ffh)
"	"Signal recognition particle GTPase (FtsY)
"
meta_mOTU_v2_5330	Firmicutes	1232.676073595471	0.09421595087354204	0.09421595087354204	3199.906873185519	997.2688089426766	0.09421595087354204	0.09421595087354204	0.09421595087354204	1028.1547476265587	0.09421595087354204
meta_mOTU_v2_5364	Firmicutes	4870.7513370689185	3511.819821697111	2213.974403799875	4029.1114158003393	1321.5098336731703	6806.785012006396	4429.09889090683	1284.6046123648173	2659.2863340694953	1312.0565806737955
meta_mOTU_v2_5396	Firmicutes	0.009546719924125726	0.009546719924125726	80.49752175265482	0.009546719924125726	100.19138798223956	58.57355840782059	52.67785253294385	0.009546719924125726	0.009546719924125726	0.009546719924125726
meta_mOTU_v2_5411	Firmicutes	0.042929701411906364	0.042929701411906364	0.042929701411906364	492.4475257380732	902.9596729975958	526.0900757863776	120.07352853296845	0.042929701411906364	471.61080563766575	0.042929701411906364
meta_mOTU_v2_5423	Bacteroidetes	1532.198120026867	4825.833244236466	2913.871827206469	1338.1479742473591	4200.600022547881	1830.6264341486526	2575.991747721702	856.6357749801567	3503.3752812816	2741.121443447036
meta_mOTU_v2_5437	Firmicutes	3101.1688290244165	0.04522594065886236	0.04522594065886236	2587.739878751062	0.04522594065886236	555.6100555175557	510.4783588446834	0.04522594065886236	492.4498154872073	0.04522594065886236
meta_mOTU_v2_5477	Firmicutes	1260.8652288822818	4037.5218511193257	803.8077130716288	2154.6520804891775	0.09304762996520763	1115.3325955896912	510.57255147022704	0.09304762996520763	0.09304762996520763	0.09304762996520763
meta_mOTU_v2_5520	Bacteroidetes	0.04177940141816001	2417.174578153384	0.04177940141816001	0.04177940141816001	1261.6371126422798	669.0696076162178	1898.2967373629842	0.04177940141816001	2797.244101960123	2583.87339186906
meta_mOTU_v2_5540	Firmicutes	0.05053214900798823	0.05053214900798823	0.05053214900798823	565.1981017901418	516.0548348604317	0.05053214900798823	1105.283694963289	0.05053214900798823	537.1843214204465	1707.1058623760966
meta_mOTU_v2_5669	Firmicutes	0.14364738818164097	1962.7274471804963	2405.863879016722	0.14364738818164097	0.14364738818164097	440.743528074661	766.9018813642078	0.14364738818164097	0.14364738818164097	0.14364738818164097
meta_mOTU_v2_5710	Firmicutes	60.017104221779014	15.918397929740184	27.97121439094369	51.20356710866518	0.0011134106951274155	61.0927925603287	49.75389401472987	32.209108479096315	24.461973808117904	0.0011134106951274155
meta_mOTU_v2_5734	Firmicutes	0.00850853484323297	123.43504729996621	0.00850853484323297	207.7561480375473	88.91745594672051	49.55399044838685	47.696034873012835	358.68392032750916	456.1500648418424	0.00850853484323297
meta_mOTU_v2_5779	Firmicutes	1460.441530678253	0.009732906560953285	872.8053369536631	4500.185190008381	721.0962298116766	2182.4551067300313	478.9829302435482	857.2197011625888	1079.877496080534	2293.1828963905527
meta_mOTU_v2_5811	Firmicutes	0.058970101333042736	0.058970101333042736	0.058970101333042736	0.058970101333042736	0.058970101333042736	0.058970101333042736	1313.1378897879472	0.058970101333042736	0.058970101333042736	0.058970101333042736
meta_mOTU_v2_5815	Firmicutes	4010.107292425611	904.9362548260357	510.0640803124433	2421.9828053313836	441.47457646170847	968.1028984202151	114.05490936370653	918.4022577906035	520.1660742341534	655.1719193870789
meta_mOTU_v2_5880	Firmicutes	0.0960427228765026	0.0960427228765026	400.85171051609234	0.0960427228765026	0.0960427228765026	0.0960427228765026	0.0960427228765026	0.0960427228765026	6893.760066742009	0.0960427228765026
