ID	phylum	"Predicted GTPase, probable translation factor
"	"Phenylalanyl-tRNA synthetase alpha subunit
"	"Arginyl-tRNA synthetase
"	"Seryl-tRNA synthetase
"	"Cysteinyl-tRNA synthetase
"	"Leucyl-tRNA synthetase
"	"Valyl-tRNA synthetase
"	"Metal-dependent proteases with possible chaperone activity
"	"Signal recognition particle GTPase (Ffh)
"	"Signal recognition particle GTPase (FtsY)
"
ref_mOTU_v2_0979	Firmicutes	0.0001	0.0001	0.8532861018000001	0.0001	0.0001	0.6254165218	0.5721225001	0.0001	0.0001	0.0001
ref_mOTU_v2_0984	Firmicutes	0.4511571685	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001
ref_mOTU_v2_1042	Firmicutes	0.0001	0.0001	0.0001	1.17897541	0.0001	0.0001	0.5682487586	0.0001	0.0001	0.0001
ref_mOTU_v2_1074	Bacteroidetes	66.0527541482	47.377022360400005	62.1292145528	55.667983773500005	64.5253073478	59.3938347921	43.4626794973	53.51397780020001	46.27492467100001	41.156939000200005
ref_mOTU_v2_1149	Proteobacteria	6.8581354234	5.8195196541	6.3835394938	7.0001163659	7.2504263386	9.2745969101	7.4111276342	8.320427274	5.9031275515	10.7481130415
ref_mOTU_v2_1151	Firmicutes	0.0001	0.0001	0.0001	0.0001	0.0001	0.6215565433	0.0001	1.4507622481	0.0001	0.0001
ref_mOTU_v2_1301	Verrucomicrobia	71.4074238587	45.26498889350001	47.8876734845	64.3952840606	57.63000847720001	57.40152406890001	49.716623464600005	78.0867171868	32.224735736	67.5917339329
ref_mOTU_v2_1308	Spirochaetes	0.0001	0.0001	0.8518424705	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001
ref_mOTU_v2_1309	Firmicutes	23.90471374	19.2469747089	18.4567396194	25.927771526999997	17.2096658147	10.376601852	20.5929100033	21.357164709	18.837172038800002	11.046051725899998
ref_mOTU_v2_1376	Firmicutes	0.0001	1.4549549135	0.8504037164	0.0001	0.0001	1.8515477163999998	1.1415507938	1.4676795921	0.0001	1.6083421728
ref_mOTU_v2_1377	Firmicutes	2.7210718923000003	3.3967248318000003	2.5903905664	3.4237256514	1.0711208512000001	3.1089247501	2.8472708149000003	0.0001	2.2225273734	6.711830667699999
ref_mOTU_v2_1378	Bacteroidetes	91.64805273190001	100.6760600159	90.050250753	103.0449061339	105.16869920530002	106.729130558	76.1955895282	120.1806068452	105.9148543154	106.05810819290001
ref_mOTU_v2_1380	Firmicutes	1.375454645	0.0001	1.7064722037	0.0001	0.0001	1.8783828361000001	1.1389683259999999	0.0001	0.0001	0.0001
ref_mOTU_v2_1382	Bacteroidetes	13.6788989152	6.2339055736999995	9.2704284185	6.9092345109	5.0950372478	5.1316508423	4.659365289999999	1.476287097	7.871935512	7.3260738762
ref_mOTU_v2_1383	Actinobacteria	68.3852827301	0.0001	45.9426784118	57.4362530053	31.6175867126	13.9630554151	50.95400634840001	20.2204700766	0.0001	0.0001
ref_mOTU_v2_1387	Firmicutes	0.0001	4.428661291	1.7210565815	0.5827155093999999	3.1927837214	5.0213448886	3.9906533415	4.4547884963	5.5196153517	1.6669205300999999
ref_mOTU_v2_1401	Firmicutes	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.5740792475	1.4982541669	1.0991825329	1.5394877678
ref_mOTU_v2_1405	Proteobacteria	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	32.589380577600004	0.0001
ref_mOTU_v2_1416	Firmicutes	228.97865415869998	217.83697254900002	215.6756485132	216.57047910400001	234.7696706253	201.12292076490002	220.16576642529998	222.5929017693	191.06235197910001	195.58078665509998
ref_mOTU_v2_1427	Firmicutes	0.0001	0.0001	0.0001	2.3414013957	0.5333413136	1.7767345884999999	0.5478473341	2.9438415209	4.484552561999999	1.5981311113999999
ref_mOTU_v2_1475	Firmicutes	0.0001	0.0001	0.8475407409	3.5068226312000004	1.0734044778	0.6007918855	0.5721225001	0.0001	2.2127584619	1.5981311113999999
ref_mOTU_v2_1481	Bacteroidetes	60.3508117262	83.8967333466	68.6428000108	61.06794460100001	53.8238786001	70.54647931080001	68.95623699720001	75.2856419474	40.999359735000006	71.6981130677
ref_mOTU_v2_1493	Firmicutes	0.0001	0.0001	0.0001	0.0001	1.1262293067	0.0001	0.0001	0.0001	0.0001	0.0001
ref_mOTU_v2_1612	Firmicutes	0.0001	0.0001	0.0001	0.0001	0.0001	0.6036729018	0.0001	0.0001	0.0001	0.0001
ref_mOTU_v2_1706	Bacteroidetes	61.554695118400005	54.050861268800006	72.39251272050001	65.4550585243	66.23428422100001	68.1827607515	0.0001	51.818608831700004	39.6504959962	59.6554464998
ref_mOTU_v2_1747	Firmicutes	0.0001	0.0001	0.0001	0.0001	0.5619078126	0.0001	0.0001	0.0001	0.0001	0.0001
ref_mOTU_v2_2358	Firmicutes	350.2972759457	328.90334225529995	324.6135552318	444.5738486683	349.99066915730003	319.26473817389996	337.4264096066	423.1955071465	365.7997642667	357.9876911161
ref_mOTU_v2_2510	Firmicutes	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	1.6291608416999999
ref_mOTU_v2_2688	Firmicutes	0.0001	0.0001	0.8863320424	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001
ref_mOTU_v2_2690	Firmicutes	2.7508092901000003	1.4806288238	0.0001	0.0001	0.0001	0.0001	1.1300209878	0.0001	1.1137721241	0.0001
ref_mOTU_v2_2708	Firmicutes	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.5688907346	0.0001	0.0001	0.0001
ref_mOTU_v2_2726	Bacteroidetes	85.9757067898	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001
ref_mOTU_v2_2795	Firmicutes	8.0769727118	2.9611576475000003	3.4186385404000004	2.2830015877000003	2.1512957268000004	4.7065852086	2.2830015877000003	2.9438415209	1.1137721241	4.8094611472999995
ref_mOTU_v2_2805	Firmicutes	49.1177383812	45.6280935745	41.1076688962	42.7455824245	37.6750954321	42.543687782700005	43.1941817622	38.721623083000004	50.338080007900004	44.415964712900006
ref_mOTU_v2_2893	Firmicutes	14.8614627626	20.6667193581	13.3766202092	23.2699776273	15.131933621199998	14.196918580899998	18.1603633625	29.175582290300003	14.542183113399998	22.161474846300003
ref_mOTU_v2_2968	Firmicutes	0.0001	1.4719707605	0.8635301888	1.1546408259	0.0001	0.0001	1.7161719272	0.0001	2.2225273734	0.0001
ref_mOTU_v2_3198	Actinobacteria	1.4061888269999998	1.4220768363999998	0.0001	1.1653310187	0.0001	1.1734794873999999	1.6930813904	1.7039071947	1.0665826273	0.0001
ref_mOTU_v2_3608	NA	0.0001	5.0072256607	2.7259833939	4.693617949499999	0.0001	2.5201490617	0.0001	0.0001	0.0001	0.0001
ref_mOTU_v2_3613	Firmicutes	1.3605859462	0.0001	1.7819753985	0.0001	1.0826372045000001	1.2460896042	0.0001	1.4938086056	2.2830015877000003	3.3118092110000004
ref_mOTU_v2_3624	Firmicutes	54.419537846400004	60.2929016865	44.5751340495	71.8218907902	58.12230372050001	51.5584219384	56.518034076700005	60.880842782500004	64.0264780803	0.0001
ref_mOTU_v2_3773	Firmicutes	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	1.5731618752
ref_mOTU_v2_3825	Firmicutes	0.0001	0.7381935485	0.0001	2.3578508200000003	1.0711208512000001	1.6247647014	3.4167049779000003	0.0001	0.0001	1.6134967950999999
ref_mOTU_v2_4020	Firmicutes	0.0001	0.0001	0.0001	2.3633854464	2.1467089556000003	0.0001	0.0001	0.0001	0.0001	0.0001
ref_mOTU_v2_4207	Firmicutes	26.055429664099997	21.9965282388	14.2551031881	25.009387964000002	19.4857696805	21.1035688073	21.2876238045	21.949800584899997	13.921001550899998	12.8250630594
ref_mOTU_v2_4211	Firmicutes	190.7912800017	144.9989938834	164.8392045528	215.6070946414	170.55382159610002	165.4780462016	156.366268365	161.7034879189	167.4652701507	168.81940860010002
ref_mOTU_v2_4234	Firmicutes	11.0330819196	5.9222152951	8.032756384199999	9.3871358989	10.6875692161	8.853513569199999	8.6294680014	14.981641669	8.8120002202	3.4301667785000003
ref_mOTU_v2_4235	Firmicutes	0.0001	0.0001	0.9087277979999999	1.1762210281999999	1.1287542603	2.5201490617	1.7181197955	1.4591718843	3.2407424898000006	3.0694890249
ref_mOTU_v2_4266	Bacteroidetes	174.194199755	164.8496251722	166.9459259523	190.19490739900002	195.97234997500001	167.6107842485	157.989369679	163.9799458221	165.5258901162	152.4711725126
ref_mOTU_v2_4268	Firmicutes	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.565695281	0.0001	0.0001	0.0001
ref_mOTU_v2_4313	Firmicutes	32.9186700324	17.7664458852	14.286338065699999	27.069097309	21.4661895556	15.1185213431	25.595683054899997	17.5598604679	15.4887092332	12.619113601099999
ref_mOTU_v2_4321	Bacteroidetes	12.5591185167	111.0397617822	87.21937229100001	91.17375683790002	89.1906043099	87.2667883859	86.0943721891	92.9998871115	96.09988001520001	53.48420375840001
ref_mOTU_v2_4389	Firmicutes	64.6417683162	83.2335188537	73.770173291	0.0001	92.5879279216	71.77182742020001	70.8274298308	67.3125151269	81.8145500284	72.8104666225
ref_mOTU_v2_4394	Firmicutes	0.0001	0.0001	0.84469698	2.3578508200000003	2.2472418795	0.0001	0.0001	0.0001	2.1887078264	0.0001
ref_mOTU_v2_4448	Bacteroidetes	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	1.1162414636	0.0001
