ID	phylum	"Predicted GTPase, probable translation factor
"	"Phenylalanyl-tRNA synthetase alpha subunit
"	"Arginyl-tRNA synthetase
"	"Seryl-tRNA synthetase
"	"Cysteinyl-tRNA synthetase
"	"Leucyl-tRNA synthetase
"	"Valyl-tRNA synthetase
"	"Metal-dependent proteases with possible chaperone activity
"	"Signal recognition particle GTPase (Ffh)
"	"Signal recognition particle GTPase (FtsY)
"
meta_mOTU_v2_5329	Bacteroidetes	0.0001	0.0001	0.0001	0.0001	0.0001	0.25395447969999996	0.0001	0.0001	0.0001	0.0001
meta_mOTU_v2_5331	Firmicutes	3.8684249755000004	0.0001	1.6359858453	0.0001	4.0227171398	2.9161235772000005	0.5379813775	0.0001	1.0344872645	1.4942149375999998
meta_mOTU_v2_5339	Firmicutes	0.0001	0.0001	0.0001	0.0001	0.0001	0.5825829274000001	0.0001	0.0001	0.0001	0.0001
meta_mOTU_v2_5354	Firmicutes	0.6413073642	0.0001	0.0001	3.2760596660000005	0.9867796757999999	1.167956589	1.5991244803	0.0001	1.0390540956999998	0.0001
meta_mOTU_v2_5357	Firmicutes	0.0001	0.0001	0.8331021334000001	3.3145098969	3.0042247150000003	0.0001	0.0001	0.0001	1.0746347154	0.0001
meta_mOTU_v2_5362	Firmicutes	0.0001	1.2289412672	0.0001	0.0001	0.0001	1.1579012432	0.0001	0.0001	2.1394009334	0.0001
meta_mOTU_v2_5386	Proteobacteria	8.8802170822	3.8368897176	2.4344769242	4.378204235899999	3.0562441906	9.0401231521	2.6711908363	6.5550610773999995	7.3447993485	1.5432023125999998
meta_mOTU_v2_5396	Firmicutes	5.1437743755	0.6177459388000001	1.6091468559	0.0001	3.0042247150000003	4.097765967	1.0541788474	1.388436889	8.404496524199999	10.9091180049
meta_mOTU_v2_5437	Firmicutes	0.0001	0.0001	0.0001	0.0001	0.0001	0.29315492239999996	0.0001	0.0001	0.0001	0.0001
meta_mOTU_v2_5517	Firmicutes	1.2484984227	0.0001	0.0001	1.0820452997	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001
meta_mOTU_v2_5520	Bacteroidetes	0.0001	1.3802941506	0.0001	0.0001	0.9606024598999999	0.25477868260000003	0.0001	0.0001	0.0001	4.4355482530999994
meta_mOTU_v2_5655	Bacteroidetes	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	1.4527117449
meta_mOTU_v2_5656	Firmicutes	6.236855379400001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	1.0746347154	1.5533878065
meta_mOTU_v2_5681	Firmicutes	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.531303392	0.0001	0.0001	1.5533878065
meta_mOTU_v2_5735	Firmicutes	0.0001	0.0001	0.0001	0.0001	1.0144237184	0.0001	0.0001	0.0001	0.0001	0.0001
meta_mOTU_v2_5800	Firmicutes	0.0001	0.0001	0.0001	0.0001	0.0001	0.29315492239999996	0.0001	0.0001	0.0001	0.0001
meta_mOTU_v2_5805	Firmicutes	17.6335179762	8.1615948905	4.810793751499999	65.9987632796	1.8119715494	6.981255085599999	4.288448112599999	37.7076594795	20.3877987453	11.360525646500001
meta_mOTU_v2_5907	Firmicutes	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	1.0459804563	0.0001
meta_mOTU_v2_5954	Firmicutes	0.0001	0.0001	1.6631607963	0.0001	0.0001	1.1127387833	0.0001	0.0001	0.0001	0.0001
meta_mOTU_v2_5978	Firmicutes	0.0001	0.0001	0.0001	0.0001	0.9972317909999999	0.0001	0.0001	0.0001	7.1621074728	4.1774331836
meta_mOTU_v2_5983	Firmicutes	0.0001	0.0001	0.7911020258	0.0001	0.0001	1.1522326936	0.5343181672999999	0.0001	0.0001	0.0001
meta_mOTU_v2_6009	Firmicutes	1.2895416585	0.0001	0.0001	1.0820452997	53.07296996550001	16.7265088321	0.26965681859999996	4.2274611259	2.0643377428000003	0.0001
meta_mOTU_v2_6028	Firmicutes	3.8790522419	6.901070752999999	4.1431123711	15.5403048938	11.0387103601	6.2325414308000004	2.0643377428000003	1.3564291221	1.0529997883	3.137741369
meta_mOTU_v2_6088	Firmicutes	0.0001	0.0001	6.3817434624	1.0997406667	0.0001	0.0001	0.0001	0.0001	1.0436614309	0.0001
meta_mOTU_v2_6108	Firmicutes	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	1.3843535452000002	0.0001	1.6286335825
meta_mOTU_v2_6201	Firmicutes	1.2930840806	12.421847355399999	5.769843323099999	8.8385263916	5.049951988799999	4.5750327373	1.0471438384	0.0001	0.0001	6.275382738099999
meta_mOTU_v2_6326	Bacteroidetes	1.2790299059	16.6111425419	3.9352689411000004	2.2149056723	3.7059756327	3.4826829149000003	1.0795637737000001	8.305621271	3.1945312581	13.320275623199999
meta_mOTU_v2_6340	Firmicutes	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	1.9859489677000002	2.9053234898
meta_mOTU_v2_6371	Firmicutes	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.5319036219	0.0001	0.0001	3.2571671651000003
meta_mOTU_v2_6407	Firmicutes	0.0001	0.0001	8.344890875099999	6.582564410599999	3.0430711553	0.0001	1.0448196567	4.1406824518	2.0157154405	1.4306355786000002
meta_mOTU_v2_6419	Firmicutes	0.0001	1.3762584952	4.8438002266	0.0001	0.0001	4.4824448129	0.0001	4.1898288311	27.624985966500002	1.6230179495
meta_mOTU_v2_6452	Firmicutes	0.0001	0.0001	0.8171941065	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001
meta_mOTU_v2_6509	Firmicutes	0.0001	0.0001	0.7991597713999999	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001
