#SampleID	Metaphlan2_Analysis
k__Bacteria	100.0
k__Bacteria|p__Firmicutes	64.22014
k__Bacteria|p__Bacteroidetes	34.76034
k__Bacteria|p__Proteobacteria	0.90875
k__Bacteria|p__Actinobacteria	0.11076
k__Bacteria|p__Firmicutes|c__Clostridia	55.94527
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	34.76034
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	5.44212
k__Bacteria|p__Firmicutes|c__Negativicutes	2.83276
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	0.53494
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	0.37381
k__Bacteria|p__Actinobacteria|c__Actinobacteria	0.11076
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	55.94527
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	34.76034
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	5.44212
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	2.83276
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	0.53494
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales	0.37381
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	0.11076
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae	33.59646
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	26.00194
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae	17.25286
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae	5.44212
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae	5.22357
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae	4.95519
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae	3.53483
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae	2.83276
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae	0.53494
