#SampleID	Metaphlan2_Analysis
k__Bacteria	100.0
k__Bacteria|p__Firmicutes	63.06796
k__Bacteria|p__Bacteroidetes	31.84954
k__Bacteria|p__Verrucomicrobia	3.36043
k__Bacteria|p__Actinobacteria	1.5222
k__Bacteria|p__Proteobacteria	0.19987
k__Bacteria|p__Firmicutes|c__Clostridia	62.50085
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	31.84954
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	3.36043
k__Bacteria|p__Actinobacteria|c__Actinobacteria	1.5222
k__Bacteria|p__Firmicutes|c__Negativicutes	0.3419
k__Bacteria|p__Firmicutes|c__Bacilli	0.22522
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	0.19987
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	62.50085
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	31.84954
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	3.36043
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales	1.5222
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	0.3419
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	0.22522
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	0.19987
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae	39.00477
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae	18.22741
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	14.91772
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae	9.08585
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae	7.84596
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae	3.94671
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Verrucomicrobiaceae	3.36043
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae	1.5222
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Oscillospiraceae	1.19814
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae	0.3419
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae	0.22522
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae	0.19987
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae	0.12381
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Subdoligranulum	27.65579
