#SampleID	Metaphlan2_Analysis
k__Bacteria	70.22453
k__Archaea	18.4207
k__Viruses	11.15811
k__Eukaryota	0.19665
k__Bacteria|p__Firmicutes	41.23326
k__Archaea|p__Euryarchaeota	18.4207
k__Bacteria|p__Bacteroidetes	15.88304
k__Bacteria|p__Proteobacteria	12.97703
k__Viruses|p__Viruses_noname	11.15811
k__Eukaryota|p__Ascomycota	0.19665
k__Bacteria|p__Actinobacteria	0.13119
k__Bacteria|p__Firmicutes|c__Clostridia	39.72714
k__Archaea|p__Euryarchaeota|c__Methanobacteria	18.4207
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	15.88304
k__Viruses|p__Viruses_noname|c__Viruses_noname	11.15811
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	8.89369
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	4.02385
k__Bacteria|p__Firmicutes|c__Negativicutes	0.72973
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	0.39685
k__Bacteria|p__Firmicutes|c__Bacilli	0.37954
k__Eukaryota|p__Ascomycota|c__Saccharomycetes	0.19665
k__Bacteria|p__Actinobacteria|c__Actinobacteria	0.13119
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	0.0595
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	39.72714
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales	18.4207
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	15.88304
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	8.89369
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Tymovirales	5.85506
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname	5.30305
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales	3.8716
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	0.72973
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	0.39685
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	0.37954
k__Eukaryota|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales	0.19665
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	0.15225
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales	0.12333
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	0.0595
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	0.00786
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae	20.95017
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae	18.4207
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae	9.14297
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae	8.80261
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae	7.68947
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae	7.28177
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Tymovirales|f__Alphaflexiviridae	5.85506
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	4.95161
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Virgaviridae	4.86666
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae	3.8716
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae	3.01784
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae	1.61376
