#SampleID	Metaphlan2_Analysis
k__Viruses	99.62478
k__Bacteria	0.37411
k__Archaea	0.00112
k__Viruses|p__Viruses_noname	99.62478
k__Bacteria|p__Bacteroidetes	0.21191
k__Bacteria|p__Firmicutes	0.10391
k__Bacteria|p__Proteobacteria	0.05359
k__Bacteria|p__Actinobacteria	0.0047
k__Archaea|p__Euryarchaeota	0.00112
k__Viruses|p__Viruses_noname|c__Viruses_noname	99.62478
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	0.21191
k__Bacteria|p__Firmicutes|c__Clostridia	0.07419
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	0.04965
k__Bacteria|p__Firmicutes|c__Negativicutes	0.02945
k__Bacteria|p__Actinobacteria|c__Actinobacteria	0.0047
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	0.00203
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	0.00181
k__Archaea|p__Euryarchaeota|c__Methanobacteria	0.00112
k__Bacteria|p__Firmicutes|c__Bacilli	0.00018
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	0.0001
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	9e-05
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname	99.6244
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	0.21191
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	0.07419
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales	0.04932
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	0.02945
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales	0.00425
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	0.00203
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	0.00181
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales	0.00112
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales	0.00045
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Picornavirales	0.00038
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales	0.00033
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	0.00018
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales	0.0001
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	9e-05
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Virgaviridae	99.5993
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae	0.13667
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	0.05858
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae	0.05369
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae	0.04932
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Acidaminococcaceae	0.02945
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae	0.01772
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae	0.01528
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Caulimoviridae	0.01072
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Closteroviridae	0.00917
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Luteoviridae	0.00484
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae	0.00425
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae	0.00233
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae	0.00203
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae	0.00181
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidales_noname	0.00139
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae	0.00112
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae	0.00045
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Picornavirales|f__Secoviridae	0.00038
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Endornaviridae	0.00036
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Oscillospiraceae	0.00034
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Moraxellaceae	0.00033
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae	0.00018
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae	0.00011
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales|f__Campylobacteraceae	0.0001
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae	9e-05
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Virgaviridae|g__Tobamovirus	99.5993
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Parabacteroides	0.12543
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides	0.05858
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Escherichia	0.04932
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia	0.04727
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Acidaminococcaceae|g__Acidaminococcaceae_unclassified	0.02392
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes	0.01528
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Caulimoviridae|g__Caulimovirus	0.01072
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Closteroviridae|g__Crinivirus	0.00917
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Subdoligranulum	0.00858
