#SampleID	Metaphlan2_Analysis
k__Viruses	78.59402
k__Bacteria	19.98377
k__Archaea	1.0738
k__Viroids	0.17914
k__Eukaryota	0.16927
k__Viruses|p__Viruses_noname	78.59402
k__Bacteria|p__Bacteroidetes	9.4437
k__Bacteria|p__Firmicutes	9.3878
k__Archaea|p__Euryarchaeota	1.0738
k__Bacteria|p__Proteobacteria	1.06381
k__Viroids|p__Viroids_noname	0.17914
k__Eukaryota|p__Ascomycota	0.16927
k__Bacteria|p__Actinobacteria	0.08847
k__Viruses|p__Viruses_noname|c__Viruses_noname	78.59402
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	9.4437
k__Bacteria|p__Firmicutes|c__Clostridia	5.10443
k__Bacteria|p__Firmicutes|c__Negativicutes	3.67114
k__Archaea|p__Euryarchaeota|c__Methanobacteria	1.0738
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	0.8549
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	0.6056
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	0.19602
k__Viroids|p__Viroids_noname|c__Viroids_noname	0.17914
k__Eukaryota|p__Ascomycota|c__Saccharomycetes	0.16927
k__Bacteria|p__Actinobacteria|c__Actinobacteria	0.08847
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	0.01289
k__Bacteria|p__Firmicutes|c__Bacilli	0.00662
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname	78.59402
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	9.4437
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	5.10443
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	3.67114
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales	1.0738
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales	0.8549
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	0.6056
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	0.19602
k__Viroids|p__Viroids_noname|c__Viroids_noname|o__Viroids_noname	0.17914
k__Eukaryota|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales	0.16927
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales	0.05371
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	0.03476
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	0.01289
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	0.00662
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Virgaviridae	78.48501
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae	7.08823
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae	3.67114
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae	1.93957
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae	1.75963
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae	1.72499
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae	1.19311
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae	1.0738
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae	0.8549
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae	0.6056
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	0.48349
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae	0.21899
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae	0.19602
k__Viroids|p__Viroids_noname|c__Viroids_noname|o__Viroids_noname|f__Avsunviroidae	0.17914
k__Eukaryota|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Saccharomycetaceae	0.1158
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Closteroviridae	0.10901
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae	0.10886
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae	0.05371
k__Eukaryota|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Debaryomycetaceae	0.05347
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae	0.03476
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Oscillospiraceae	0.02777
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae	0.01289
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae	0.00662
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidales_noname	0.00349
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Virgaviridae|g__Tobamovirus	78.48501
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Parabacteroides	5.38195
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Megamonas	3.63514
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella	1.75963
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Odoribacter	1.55838
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia	1.2628
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium	1.19311
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter	1.0738
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium	0.96335
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Escherichia	0.8549
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Erysipelotrichaceae_noname	0.6056
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Subdoligranulum	0.50142
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides	0.48349
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus	0.4748
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia	0.33639
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae|g__Peptostreptococcaceae_noname	0.21899
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Sutterellaceae_unclassified	0.19602
k__Viroids|p__Viroids_noname|c__Viroids_noname|o__Viroids_noname|f__Avsunviroidae|g__Pelamoviroid	0.17914
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Barnesiella	0.14791
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Closteroviridae|g__Crinivirus	0.10901
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes	0.10886
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Coprococcus	0.08525
k__Eukaryota|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Saccharomycetaceae|g__Saccharomycetaceae_unclassified	0.07919
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella	0.05371
k__Eukaryota|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Debaryomycetaceae|g__Debaryomycetaceae_unclassified	0.05347
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea	0.04055
