#SampleID	Metaphlan2_Analysis
k__Bacteria	55.49646
k__Viruses	29.93265
k__Archaea	14.57088
k__Bacteria|p__Bacteroidetes	38.3954
k__Viruses|p__Viruses_noname	29.93265
k__Archaea|p__Euryarchaeota	14.57088
k__Bacteria|p__Proteobacteria	11.36593
k__Bacteria|p__Firmicutes	5.57918
k__Bacteria|p__Actinobacteria	0.13307
k__Bacteria|p__Verrucomicrobia	0.02289
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	38.3954
k__Viruses|p__Viruses_noname|c__Viruses_noname	29.93265
k__Archaea|p__Euryarchaeota|c__Methanobacteria	14.57088
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	10.96857
k__Bacteria|p__Firmicutes|c__Clostridia	5.32141
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	0.32033
k__Bacteria|p__Firmicutes|c__Bacilli	0.17523
k__Bacteria|p__Actinobacteria|c__Actinobacteria	0.13307
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	0.08254
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	0.07702
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	0.02289
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	38.3954
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname	29.93265
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales	14.57088
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales	10.91886
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	5.32141
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	0.32033
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales	0.13307
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	0.09523
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	0.08254
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	0.08
